"","sim_id","true_alpha_game1","fit_alpha_game1","true_alpha_game2","fit_alpha_game2","true_temp_game1","fit_temp_game1","true_temp_game2","fit_temp_game2","true_envy","fit_envy","true_guilt","fit_guilt","neg_log_lik"
"27",27,0.838982427897863,0.818480307436972,0.970077562467195,0.985503740614739,0.658549357065931,0.1,1.63850941269193,0.1,1.88935346249491,4.7452266554161,0.962317329598591,0.974083828867512,20.8771879389243
"28",28,0.248998017199337,0.00939193439552159,0.407427490926348,1,3.54664766946808,0.1,0.660659362189472,0.1,0.269512076396495,0.199488049770312,1.47671520325821,1.45384395507015,26.9127202206226
"29",29,0.171215926548466,0.957826268408599,0.283808391084895,0.0233434877057496,0.847415153915063,0.1,2.20164926503785,0.1,0.424158841837198,3.06810759367556,0.116993443574756,0.01,12.1344275609069
"30",30,0.489778557536192,0.011621507325648,0.541764598106965,0.982252615762681,2.33603324920405,0.1,0.939999977312982,0.1,1.42968055047095,2.22782658257266,1.35903169820085,1.22752251515852,38.0538256169185
"31",31,0.599407108724117,1,0.929750384087674,0.0756259313313296,4.95912272620481,14.5184445588321,2.99800719523337,0.402873833805744,1.58984257793054,4.54688846572503,0.131619062041864,0.219819166280007,42.5486269519614
"32",32,0.473193840370513,1,0.870045337215997,1,4.22475774183404,10.2593227336979,0.950632949895226,0.1,1.44919016072527,0.01,0.639647289994173,0.768832458266481,22.3417597472014
"33",33,0.0823097036546096,0.00359808666003047,0.712512772935443,0.867125785478828,1.28978052719031,0.1,4.23804935829248,0.830250776231031,1.9906365359202,5,0.15751587075647,0.01,40.7290520264639
"34",34,0.231281312010251,0.352200708325645,0.855540987420827,1,3.64636235975195,6.785122426086,0.850985327945091,0.1,1.70601540151983,0.658056118351034,0.948560904362239,0.789588194217534,49.1108814375424
"35",35,0.372768258834258,0.0147910514217902,0.493532503843307,1,2.87691875325982,0.1,4.77439819902647,0.1,0.361239630263299,0.182508670207048,0.579702871385962,0.787384842325145,21.3945800745248
"36",36,0.0299382198741659,0.001,0.694435409940779,1,4.27357555404305,15,2.39835101331119,0.1,0.520095260348171,0.22487833793836,1.19298781023826,1.19033712367103,53.1695820822065
"37",37,0.658722716830671,0.669244131576116,0.0680991133209318,0.00687555225987108,4.52983043342829,0.1,1.03140849284828,0.1,1.92761862557381,5,0.138768131844699,0.01,34.2681273396089
"38",38,0.562567152846605,0.993874290782849,0.446948976991698,0.548228359625725,4.73170915155206,4.19155963266463,0.473706434946507,0.1,0.654935337137431,1.10095682331535,0.803124752710573,0.842650934178898,24.8208219405852
"39",39,0.237273207008839,0.0874484690442576,0.389311259170063,0.0296500555052357,0.508604852063581,0.135169907804836,1.0071035445435,0.1,1.93405488831922,2.21152062359812,1.02448271610774,0.977515609901697,47.8177703208556
