"participant","envy","guilt","temp_game1","temp_game2","sensitivity_game1","sensitivity_game2","alpha_Q_game1","alpha_Q_game2","w","nll","aic","bic","best_k","approach"
"27i4qdReBcXw8YuEi",2.34850273942375,0.178931945620399,3.4777724474745,5.4651344974007,0.744884356344151,0.436517419941583,0.823201176099238,0.665098795303937,0.653596975481896,11.6793772042686,41.3587544085371,58.5669614573904,3,"hierarchical"
"2ghfK9aHNeDGySQ3u",1.04040238763654,0.224618257708926,3.77387560955802,3.91248532065751,0.50440937809456,0.540697660935226,0.908207517089488,0.879836924839311,0.883524003439251,14.5316425338042,47.0632850676084,63.714613482999,2,"hierarchical"
"2j73t2yQ64ngLzJyz",0.01,0.418239147047978,3.9143927977326,3.92217802650709,0.54689290260851,0.587706367978517,0.963128126051849,0.966882214057463,0.871268033072584,17.4556508696643,52.9113017393286,70.1195087881819,2,"hierarchical"
"3AgtjHpxyrgstBNMZ",1.7295196483674,0.26582530821458,3.94706103793872,4.03353863786013,0.513314600644075,0.511030777187755,0.408798460161007,0.401437380602942,0.58080588600417,2.83616824141347,23.6723364828269,40.8805435316803,3,"hierarchical"
"3dbsqfSprGiQhZaLf",1.95320393705747,0.210722273208247,3.91714914312111,3.80121466475762,0.596041118480993,0.512879185519113,0.495147650052616,0.426836512627944,0.565706667668772,3.68045067687206,25.3609013537441,42.0122297691346,2,"hierarchical"
"3MJxZfkZpopGgv6Xd",1.88121222520334,0.379795900142697,4.74375527145857,4.80192644000777,0.511041036358867,0.573976135347886,0.960474770247683,0.99,0.831310917748113,14.733583089297,47.4671661785941,64.4935488615897,3,"hierarchical"
"3W6oYvY9BWQChF64y",0.256255263970634,0.153575975808941,4.46702030205731,4.77118142188166,0.638077646198377,0.526868662160086,0.839763433769454,0.946991841043208,0.767664606218676,15.1920596625461,48.3841193250923,65.5923263739456,3,"hierarchical"
"4pmMPmcSFQvdQzcsy",1.87889034420685,0.212900839080224,4.37837866401879,4.67827449632121,0.599689383749653,0.640032553737675,0.949255352974736,0.99,0.946997544582484,16.1272126385832,50.2544252771664,67.2808079601621,2,"hierarchical"
"4RkttSpAP5oejHxwQ",1.16013198420484,0.185973940726053,4.0563400073988,4.26870662500311,0.583449203625058,0.530681474926743,0.9211212992886,0.937181472789284,0.711706575388376,13.4966672359463,44.9933344718926,61.8341435700636,3,"hierarchical"
"53Gh5MSB7kKWYXdcA",1.42616473701787,0.595162675532776,3.79271448542652,4.5588571365161,0.565238286593424,0.506347526438302,0.918298599963701,0.813606585933089,0.716448682850155,12.5035659863702,43.0071319727405,60.0335146557361,2,"hierarchical"
"5fZ9mbFkp2dCyZLvL",0.792123494241495,0.320845609585557,4.24525336722888,4.16384152977586,0.534064182272005,0.564698499319652,0.98131845371039,0.957819158601534,0.627480775752463,14.56068516101,47.1213703220199,64.1477530050156,3,"hierarchical"
"5LACqtjfXnavP6M8A",1.97799715250832,0.321604141923435,4.06304148745863,4.37529826452527,0.545986563538195,0.530641261941692,0.907869722666172,0.939512399699174,0.5964853476578,12.2802451374836,42.5604902749672,58.4112913162093,3,"hierarchical"
"6G7Mori9G4LFJsArQ",2.02016742825184,0.328832184790183,4.38530312521726,4.76836432753554,0.483159297949144,0.530166371021734,0.819224206972954,0.99,0.75619629796854,12.1035016557492,42.2070033114983,59.0478124096693,3,"hierarchical"
"6j4uzW8HNrFcpQSNA",1.93616833203462,0.252900683375175,4.1187120311999,4.143288577595,0.545729817991301,0.497551627877933,0.961493936602231,0.943009764346304,0.654074105086169,13.5794238107186,45.1588476214371,61.9996567196081,2,"hierarchical"
"6Ru8t52bsqgyANH78",1.62190959521188,0.150358287679096,3.89885869179999,4.08126972205884,0.518178935296495,0.577533245523323,0.881068055924812,0.867770493599823,0.678205707375212,12.0813097020497,42.1626194040994,58.2203261093637,2,"hierarchical"
"83SwbhmvKbnkpGeok",1.9892058326093,0.34827444815375,4.33259181717254,4.04287643130807,0.462962438801698,0.538231441643959,0.87284804815354,0.738189283850197,0.542285619537992,9.38296585975048,36.765931719501,53.606740817672,3,"hierarchical"
"85QnxjnxoDBHR56h9",1.91890534245185,0.23967730925451,3.98380001457698,3.37547691794372,0.532310968644904,0.508708083076676,0.750966930196852,0.616938935247049,0.583141746212524,7.30157914530277,32.6031582906055,49.0609308590074,3,"hierarchical"
"8R3xo4bmDcubEZPpt",1.94385509662537,0.460976688229352,4.49102437039973,3.94405352749058,0.669452266122745,0.568942428162662,0.935431963547166,0.891529745543367,0.787437698475419,13.6895161174971,45.3790322349942,62.5872392838475,2,"hierarchical"
"9NZPdsRHMfTffJ86Z",1.57273614961887,0.291982691049207,3.91057793592872,3.96844212357799,0.595245643384034,0.601856066764714,0.825475122002121,0.99,0.935068418861598,14.6722535135909,47.3445070271819,64.5527140760352,2,"hierarchical"
"A7xu5DSWfjo8c3FBA",1.91042634110127,0.20279993800349,3.53422714897842,4.31326289696152,0.544828809116688,0.571545576660457,0.611130718848281,0.942454394491806,0.764975141186342,10.3441017637727,38.6882035275453,55.714586210541,3,"hierarchical"
"a9hGmsRsdt7ZJAeQk",1.19982253948469,0.404191569422043,4.09718347536326,4.50373999863658,0.600289677916687,0.56072162888307,0.851563414931249,0.99,0.972367414395506,15.4339011602302,48.8678023204605,66.0760093693138,2,"hierarchical"
