"","sim_id","true_envy","fit_envy","true_guilt","fit_guilt","true_temp","fit_temp","true_sensitivity","fit_sensitivity","true_alpha_MF","fit_alpha_MF","true_alpha_MB","fit_alpha_MB","true_w","fit_w","true_k","fit_k","nll"
"envy82",83,0.503310417160392,0.01,0.753260907577351,0.58089973776199,0.583310515154153,0.1,1.55248829243006,1.22188711265335,0.682218574853614,0.880314017101305,0.115255924230441,0.2234866540206,0.588404731824994,0,2,1,1.62351931975119e-09
"envy83",84,0.534303830550052,4.59406455754652,0.584887042946648,0.01,3.15247838094365,0.1,0.225013003454078,0.932487943513912,0.407123449258506,0.477945131244541,0.805498844473623,0.99,0.995932938996702,1,1,2,0
"envy84",85,0.854632757862564,0.01,0.140113324970007,0.01,0.999134860862978,0.1,0.504029148083646,2,0.490594256650656,0.99,0.75814576419536,0.99,0.808503988664597,0,2,1,0
"envy85",86,0.310009106840007,0.01,0.346252300676424,0.01,2.50794994933531,0.1,0.563051963821053,0.892187107299904,0.68456295167096,0.99,0.854850208340213,0.475608234485168,0.403808037983254,0.0918563746606564,2,1,0
"envy86",87,0.0793254207167774,0.01,0.650967004883569,0.01,0.425572569831274,0.1,0.0743297107703984,1.24984563661169,0.649116322258487,0.99,0.862104979972355,0.99,0.9619713826105,0.282747099050328,1,1,4.97668573019127e-12
"envy87",88,1.38060109685641,0.01,0.853580483761616,0.01,2.34404552895576,0.1,0.300848993421532,2,0.662094496735372,0.01,0.175782424993813,0.99,0.420604088110849,1,3,2,0
"envy88",89,1.3373535811319,0.01,0.539000628271606,0.673958964890799,3.01946576605551,0.0999999999999999,1.2359418626735,1.71426201626674,0.930622658953071,0.964413030489276,0.396645852010697,0.66944124165078,0.689714973093942,0,1,1,0.000191434806096654
"envy89",90,1.44817605530145,0.01,0.756646407197695,0.391024141044042,3.37068464173935,0.0999999999999999,0.774955859803595,2,0.251915801060386,0.742672933978975,0.42765491750557,0.01,0.778184347087517,0,2,1,5.36379674789423e-09
"envy90",91,1.35248146226397,0.01,0.0112130983034149,0.01,2.18466939791106,0.1,1.2382070234837,0.39434935875266,0.94535790215712,0.99,0.279107503611594,0.99,0.508072928758338,1,1,1,2.3741297819389e-10
"envy91",92,0.415630145196337,0.01,0.748529340922833,0.01,2.11987791357096,1.45408125686778,0.285763556370512,1.17470161064132,0.484615781251341,0.0116373975724812,0.793726388122886,0.99,0.906973381526768,1,1,2,1.00280495042281e-09
"envy92",93,1.44556573690381,0.01,0.578192937441636,0.01,2.50248056876007,0.0999999999999999,0.828215054192115,1.3093495328282,0.72314575875178,0.99,0.956098682633601,0.01,0.136017834069207,0,3,1,4.44089209850063e-16
"envy93",94,1.84346014090814,0.01,0.783560449716169,0.791882706176987,3.92202824351843,0.1,1.1293318836228,1.62052567167317,0.4680360754719,0.925693408292922,0.704206265509129,0.01,0.170849247137085,0,3,1,0.000817147669744538
"envy94",95,0.606370681778062,0.01,0.707657789033838,0.570942823175509,1.65082246374805,0.308623107293899,0.639649695449043,0.01,0.537872389061376,0.99,0.187137953084894,0.99,0.881154121831059,0.803549045049929,2,1,1.52855824678145
"envy95",96,0.553959983980749,0.01,0.643158787768334,0.01,0.742209980380721,0.1,0.695546979950741,0.140880975394484,0.797403578739613,0.99,0.184213814348914,0.738946861561861,0.137627045856789,0,1,1,3.07909253650015e-12
"envy96",97,1.18151864934713,0.01,0.579900576896034,0.01,2.65631126083899,0.1,0.72608102556318,1.69473958835471,0.567823614194058,0.99,0.691727641108446,0.01,0.279473399976268,0,1,1,6.1572968945806e-12
"envy97",98,1.95914337049006,0.19508675074172,0.32264471829636,0.627685165987725,2.86265255645849,0.1,0.603158662954811,1.78638188165851,0.830884535880759,0.67668716351169,0.341783377961256,0.99,0.689071847125888,0,1,1,0.000935099752024789
"envy98",99,0.118473596039694,0.01,0.898958292033058,0.01,2.47444856194779,0.1,1.54697917386424,2,0.161976262861863,0.01,0.973341776570305,0.99,0.741131440270692,1,1,2,0
"envy99",100,1.42738462579437,0.01,0.679708794939797,0.01,1.09070039435755,0.1,0.305591054507531,1.6213602885901,0.943967086062767,0.99,0.626709531582892,0.99,0.0490685608237982,0,3,1,3.0786484472903e-12
