Status,Time taken,Total approvals,Age,Sex,Ethnicity simplified
APPROVED,2378,332,54,Male,White
APPROVED,2703,791,32,Male,White
APPROVED,2009,691,29,Female,White
APPROVED,2861,128,34,Male,White
APPROVED,2024,2776,23,Female,White
APPROVED,1955,1050,54,Male,White
APPROVED,2375,381,37,Male,White
APPROVED,2305,500,24,Female,Black
APPROVED,1683,5092,46,Female,White
APPROVED,3004,58,22,Female,White
APPROVED,1521,4066,43,Male,White
APPROVED,4098,38,28,Male,Black
APPROVED,2798,415,45,Male,White
APPROVED,2414,335,47,Male,Asian
